candidate_id,name,years_experience,education_level,skills,resume_text
C0001,Candidate_1,5,high_school,deep learning;python;kubernetes;docker;project management;machine learning;statistics;sql;power bi,"Candidate Candidate_1 has 5 years of experience. Primary skills include deep learning, python, kubernetes, docker, project management, machine learning, statistics, sql, power bi. Education level: high_school."
C0002,Candidate_2,4,high_school,spark;sql;python;machine learning;azure;deep learning;kubernetes;tableau,"Candidate Candidate_2 has 4 years of experience. Primary skills include spark, sql, python, machine learning, azure, deep learning, kubernetes, tableau. Education level: high_school."
C0003,Candidate_3,5,high_school,azure;fastapi;spark;docker;communication;tableau;nlp;etl,"Candidate Candidate_3 has 5 years of experience. Primary skills include azure, fastapi, spark, docker, communication, tableau, nlp, etl. Education level: high_school."
C0004,Candidate_4,7,master,spark;power bi;kubernetes;nlp;azure,"Candidate Candidate_4 has 7 years of experience. Primary skills include spark, power bi, kubernetes, nlp, azure. Education level: master."
C0005,Candidate_5,3,master,machine learning;etl;deep learning;statistics,"Candidate Candidate_5 has 3 years of experience. Primary skills include machine learning, etl, deep learning, statistics. Education level: master."
C0006,Candidate_6,3,master,kubernetes;sql;communication;deep learning;etl;streamlit;git;nlp,"Candidate Candidate_6 has 3 years of experience. Primary skills include kubernetes, sql, communication, deep learning, etl, streamlit, git, nlp. Education level: master."
C0007,Candidate_7,7,high_school,azure;machine learning;sql;docker;tableau;fastapi;spark;deep learning,"Candidate Candidate_7 has 7 years of experience. Primary skills include azure, machine learning, sql, docker, tableau, fastapi, spark, deep learning. Education level: high_school."
C0008,Candidate_8,6,master,kubernetes;communication;statistics;aws;fastapi;project management;deep learning,"Candidate Candidate_8 has 6 years of experience. Primary skills include kubernetes, communication, statistics, aws, fastapi, project management, deep learning. Education level: master."
C0009,Candidate_9,3,bachelor,machine learning;aws;fastapi;docker;streamlit;project management;azure;nlp;power bi,"Candidate Candidate_9 has 3 years of experience. Primary skills include machine learning, aws, fastapi, docker, streamlit, project management, azure, nlp, power bi. Education level: bachelor."
C0010,Candidate_10,5,master,power bi;sql;docker;streamlit;git;azure;nlp;project management;deep learning,"Candidate Candidate_10 has 5 years of experience. Primary skills include power bi, sql, docker, streamlit, git, azure, nlp, project management, deep learning. Education level: master."
