candidate_id,job_id,resume_text,job_text,candidate_skills,required_skills,optional_skills,candidate_years,job_min_years,candidate_education,job_min_education,match_label
C0205,J011,"Candidate Candidate_205 has 1 years of experience. Primary skills include statistics, fastapi, power bi, aws. Education level: phd.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",statistics;fastapi;power bi;aws,project management;communication;leadership;tableau;fastapi;python,etl,1,8,phd,bachelor,0
C0200,J008,"Candidate Candidate_200 has 1 years of experience. Primary skills include spark, communication, machine learning, deep learning, leadership. Education level: high_school.","Role AI Product Analyst requires at least 6 years experience. Required skills: communication, spark, leadership, git. Preferred skills: power bi, nlp. Minimum education: phd.",spark;communication;machine learning;deep learning;leadership,communication;spark;leadership;git,power bi;nlp,1,6,high_school,phd,0
C0056,J017,"Candidate Candidate_56 has 6 years of experience. Primary skills include tableau, azure, spark, power bi, communication, docker. Education level: phd.","Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd.",tableau;azure;spark;power bi;communication;docker,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,6,4,phd,phd,0
C0003,J009,"Candidate Candidate_3 has 5 years of experience. Primary skills include azure, fastapi, spark, docker, communication, tableau, nlp, etl. Education level: high_school.","Role Backend Engineer requires at least 5 years experience. Required skills: etl, nlp, statistics, project management, deep learning. Preferred skills: docker, communication. Minimum education: master.",azure;fastapi;spark;docker;communication;tableau;nlp;etl,etl;nlp;statistics;project management;deep learning,docker;communication,5,5,high_school,master,0
C0027,J004,"Candidate Candidate_27 has 1 years of experience. Primary skills include power bi, deep learning, docker, azure, project management, kubernetes, fastapi, machine learning, leadership. Education level: bachelor.","Role Analytics Lead requires at least 4 years experience. Required skills: deep learning, project management, nlp. Preferred skills: aws, git, power bi. Minimum education: master.",power bi;deep learning;docker;azure;project management;kubernetes;fastapi;machine learning;leadership,deep learning;project management;nlp,aws;git;power bi,1,4,bachelor,master,0
C0056,J002,"Candidate Candidate_56 has 6 years of experience. Primary skills include tableau, azure, spark, power bi, communication, docker. Education level: phd.","Role AI Product Analyst requires at least 2 years experience. Required skills: fastapi, nlp, machine learning, git, tableau, azure. Preferred skills: leadership, project management, spark. Minimum education: bachelor.",tableau;azure;spark;power bi;communication;docker,fastapi;nlp;machine learning;git;tableau;azure,leadership;project management;spark,6,2,phd,bachelor,0
C0081,J024,"Candidate Candidate_81 has 4 years of experience. Primary skills include communication, nlp, spark, aws, kubernetes, tableau. Education level: phd.","Role NLP Engineer requires at least 3 years experience. Required skills: deep learning, spark, power bi. Preferred skills: leadership, nlp, python. Minimum education: master.",communication;nlp;spark;aws;kubernetes;tableau,deep learning;spark;power bi,leadership;nlp;python,4,3,phd,master,0
C0111,J019,"Candidate Candidate_111 has 0 years of experience. Primary skills include leadership, deep learning, python, docker, aws, nlp, kubernetes. Education level: high_school.","Role NLP Engineer requires at least 6 years experience. Required skills: azure, spark, project management, leadership, sql, statistics. Preferred skills: . Minimum education: phd.",leadership;deep learning;python;docker;aws;nlp;kubernetes,azure;spark;project management;leadership;sql;statistics,,0,6,high_school,phd,0
C0047,J011,"Candidate Candidate_47 has 3 years of experience. Primary skills include docker, kubernetes, aws, deep learning, etl, spark, python. Education level: phd.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",docker;kubernetes;aws;deep learning;etl;spark;python,project management;communication;leadership;tableau;fastapi;python,etl,3,8,phd,bachelor,0
C0137,J016,"Candidate Candidate_137 has 2 years of experience. Primary skills include python, kubernetes, fastapi, deep learning, communication, aws, power bi. Education level: master.","Role BI Engineer requires at least 8 years experience. Required skills: power bi, git, aws, etl. Preferred skills: tableau, streamlit, project management. Minimum education: phd.",python;kubernetes;fastapi;deep learning;communication;aws;power bi,power bi;git;aws;etl,tableau;streamlit;project management,2,8,master,phd,0
